@relation abalone

@attribute A1 {M,F,I}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute Target numeric

@data
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
F,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9
I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6
I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
F,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10
F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15
F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23
I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9
F,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13
M,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8
I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9
I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8
M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,10
M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
F,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,13
M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8
