% @article{Kampichler00:jrnl,
% author = {Kampichler, C. and D\v{z}eroski,S. and Wieland, R.{
% title = {Application of machine learning techniques to the analysis of soil ecological data bases: relationships between habitat features and Collembolan community characteristics},
% journal = {Soil Biology and Biochemistry},
% volume = {32},
% number = {2},
% pages = {197 - 209},
% year = {2000},
% issn = {0038-0717},
% doi = {DOI: 10.1016/S0038-0717(99)00147-9},
%}


@relation collembolaV2

@attribute x numeric
@attribute y numeric
@attribute Pcalextract numeric
@attribute Kcalextract numeric
@attribute Corg numeric
@attribute density numeric
@attribute Gefuegeform1 {kru,koh,sub,pol,ein,pla}
@attribute Gefuegeform2 {2,3,4}
@attribute Gefuegegross1 {kru,koh,sub,pol,ein,pla}
@attribute Gefuegegross2 {1,2,3,4}
@attribute beimengungen {0,1,2,3}
@attribute earthwormtubes {0,1}
@attribute PS2 numeric
@attribute PS2dot8 numeric
@attribute PS4 numeric
@attribute PS6dot3 numeric
@attribute PS12dot5 numeric
@attribute PS20 numeric
@attribute PS28 numeric
@attribute PS40 numeric
@attribute PS50 numeric
@attribute PS63 numeric
@attribute PS100 numeric
@attribute PS200 numeric
@attribute PS630 numeric
@attribute logMedPS numeric
@attribute Skel6dot3 numeric
@attribute Skel20 numeric
@attribute Skel63 numeric
@attribute nutzbFeldkap numeric
@attribute soiltype {B,D,K,L,Y,G,DB,BS,SD,BAG,SB,SK,GA,GB,AB,BA}
@attribute elevation numeric
@attribute slope numeric
@attribute angle numeric
@attribute fieldtype {Acker,Wiese,Weide,Hopfen}
@attribute basalMR numeric
@attribute SIR numeric
@attribute pH numeric
@attribute soilmoisture numeric
@attribute PercC numeric
@attribute PercN numeric
@attribute kraeuter numeric
@attribute leguminosen numeric
@attribute suessgraeser numeric
@attribute deckung numeric
@attribute deckungWildkraut numeric
@attribute hoeheWildkraut numeric
@attribute class_spec numeric
@attribute class_ind numeric
@attribute class_fols numeric

@data
100,100,0.149,0.131,18.1,1.461,kru,?,?,?,0,0,0.116,0.132,0.157,0.202,0.289,0.345,0.377,0.407,0.424,0.438,0.478,0.61,0.907,2.301,0.212,0.387,0.387,43.517,B,495.41,5.25,225,Acker,1.59,25.03,5.98,13.41,1.77,0.165,?,?,?,?,3,2,6,79,3
100,110,0.158,0.096,13.9,1.524,kru,?,?,?,0,0,0.108,0.122,0.143,0.179,0.242,0.283,0.308,0.334,0.35,0.365,0.42,0.564,0.873,2.301,0.198,0.338,0.338,64.176,B,497.49,3.55,247.5,Acker,1.85,21.42,6.05,11.96,1.49,0.153,?,?,?,?,5,2,0,0,0
100,120,0.183,0.087,14.4,1.537,kru,?,sub,3,0,0,0.128,0.14,0.158,0.191,0.253,0.293,0.319,0.344,0.358,0.371,0.415,0.592,0.955,2.301,0.048,0.074,0.074,94.963,B,495.8,11.43,337.5,Acker,?,?,?,?,1.16,0.12,?,?,?,?,2,2,0,0,0
100,90,0.1,0.096,14.6,1.358,koh,?,pol,3,0,0,0.153,0.167,0.188,0.227,0.299,0.344,0.368,0.391,0.404,0.415,0.449,0.512,0.879,2.301,0.132,0.193,0.193,68.755,B,496.63,4.28,315,Acker,1.26,10.99,6.1,6.27,1.15,0.079,?,?,?,?,3,2,6,80,4
110,100,0.216,0.144,14.8,1.403,kru,?,?,?,1,0,0.126,0.143,0.169,0.214,0.29,0.337,0.364,0.391,0.406,0.421,0.471,0.624,0.917,2.301,0.107,0.181,0.181,71.233,B,496.26,1,202.5,Acker,1.68,14.44,6.37,8.27,1.63,0.161,?,?,?,?,2,1,1,1,0
110,110,0.133,0.1,12.993,1.503,kru,?,?,?,0,0,0.116,0.131,0.153,0.188,0.246,0.283,0.307,0.331,0.346,0.36,0.41,0.584,0.916,2.301,0.153,0.219,0.219,58.668,B,498.43,0.2,90,Acker,1.82,24.64,6.29,13.57,1.54,0.149,?,?,?,?,10,2,8,44,3
110,120,0.141,0.109,15.4,1.477,kru,?,sub,3,?,0,0.101,0.119,0.146,0.193,0.277,0.331,0.364,0.396,0.414,0.431,0.472,0.602,0.966,2.301,0.078,0.114,0.114,121.607,B,497.38,2.53,315,Acker,?,?,5.81,17.51,1.49,0.148,?,?,?,?,3,1,3,22,2
110,130,0.208,0.092,17.4,1.443,?,2,?,?,1,0,0.305,0.326,0.355,0.404,0.482,0.531,0.561,0.59,0.608,0.624,0.687,0.789,0.942,1.301,0.053,0.087,0.087,97.52,DB,496.8,1.28,202.5,Acker,?,?,?,?,1.93,0.187,?,?,?,?,5,2,3,11,1
110,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,497.06,11.6,315,?,1.39,?,5.89,19.11,1.23,0.106,?,?,?,?,0,0,6,16,3
120,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,496.44,2.95,112.5,?,2.31,23.52,6.3,23.95,1.69,0.151,?,?,?,?,15,5,3,9,0
120,110,0.224,0.1,13.3,1.401,kru,?,sub,3,?,0,0.112,0.127,0.149,0.184,0.245,0.285,0.31,0.335,0.349,0.362,0.401,0.487,0.893,?,0.073,0.1,0.1,72.025,B,497.23,2.88,135,Acker,1.24,19.26,5.99,10.55,1.28,0.113,?,?,?,?,1,1,8,21,3
120,120,0.125,0.079,15,1.472,kru,?,?,?,?,0,0.134,0.152,0.178,0.224,0.303,0.353,0.383,0.414,0.431,0.448,0.507,0.642,0.907,2,0.14,0.264,0.264,54.982,B,497.57,4.55,22.5,Acker,1.7,21.71,6.34,18.43,1.58,0.15,?,?,?,?,10,2,3,3,0
120,130,0.133,0.048,16.1,1.425,kru,?,sub,3,?,0,0.182,0.205,0.238,0.294,0.388,0.445,0.479,0.513,0.532,0.55,0.606,0.733,0.955,1.602,0.035,0.054,0.054,155.97,K,495.88,5.69,67.5,Acker,?,?,5.96,16.92,1.4,0.155,?,?,?,?,2,1,1,1,0
120,140,0.133,0.035,13.6,1.657,kru,?,pol,3,?,0,0.142,0.167,0.203,0.264,0.365,0.434,0.479,0.526,0.553,0.576,0.635,0.722,0.944,1.602,0.039,0.058,0.058,117.039,B,495.18,3.8,67.5,Acker,?,?,?,?,1.6,0.172,?,?,?,?,1,3,3,7,0
120,150,0.174,0.044,14.3,1.57,kru,?,sub,3,?,0,0.119,0.14,0.171,0.223,0.312,0.371,0.409,0.445,0.465,0.482,0.524,0.592,0.863,2,0.076,0.098,0.098,127.45,B,494.19,5.27,292.5,Acker,1.1,13.84,5.74,17.59,1.15,0.116,?,?,?,?,6,5,4,13,0
120,160,0.141,0.048,16.761,1.591,kru,?,sub,3,?,0,0.105,0.123,0.151,0.198,0.278,0.329,0.362,0.395,0.415,0.434,0.49,0.601,0.873,2.301,0.128,0.215,0.215,137.448,B,493.3,13.04,247.5,Acker,1.83,24.07,6.58,20.83,?,?,?,?,?,?,2,2,1,1,0
