% How this was generated:
% - 7 random features from interval [0, 2)
% - first 3 features: first 3 features > 1
% - targets: average of 1st and LAst feature
@relation mtrTest
@attribute feat1 {0,1}
@attribute feat2 {0,1}
@attribute feat3 {0,1}
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute tar1 numeric
@attribute tar2 numeric
@attribute tar3 numeric
@attribute tar4 numeric
@data
0,0,0,0.2154,1.8024,0.0763,1.0724,0.5362,0.5362,0.5362,0.5362
0,1,0,0.6744,0.6676,0.4903,0.0033,0.00165,0.00165,0.00165,0.00165
0,0,1,0.1398,0.6309,0.8966,1.8108,0.9054,0.9054,0.9054,0.9054
0,0,1,0.0425,1.8223,1.1468,0.5306,0.2653,0.2653,0.2653,0.2653
1,1,0,1.603,0.4137,1.2178,1.0541,1.02705,1.02705,1.02705,1.02705
1,0,0,1.5386,1.0255,1.3697,1.2767,1.13835,1.13835,1.13835,1.13835
1,1,0,1.3369,0.749,0.0637,1.5083,1.25415,1.25415,1.25415,1.25415
0,1,1,1.3161,0.3403,0.6738,0.7824,0.3912,0.3912,0.3912,0.3912
0,0,1,0.6722,0.3781,0.1763,1.2566,0.6283,0.6283,0.6283,0.6283
0,0,0,1.064,1.4473,1.8183,1.2776,0.6388,0.6388,0.6388,0.6388
1,1,1,0.4667,0.9676,0.3552,1.9839,1.49195,1.49195,1.49195,1.49195
0,1,0,0.2695,0.3864,0.5127,0.7041,0.35205,0.35205,0.35205,0.35205
0,0,0,0.2172,0.1252,0.7101,0.1776,0.0888,0.0888,0.0888,0.0888
