%I attached the dataset for the experiments: all_data_bin_and_groups_no_species.arff
%
% attributes 1 - 142 are to be used for learning (independant attributes),
% 143,144 and 146 are the target attribures for the paper
% you can disregard (filter out) the attributes 145 and 147-159 (atleast 
% for the paper,they could be used later for soemthing else)
%
% Damjan
%

@relation 'all_data.csv-weka.filters.unsupervised.attribute.Remove-R1-6,10-11,56-60,67,69,100,131-weka.filters.unsupervised.attribute.Remove-R143-188,201-202'

@attribute actsit_mo numeric
@attribute soil_JB numeric
@attribute samp_time numeric
@attribute Current_crop=ba numeric
@attribute Current_crop=ba-ch numeric
@attribute Current_crop=ba-clgr numeric
@attribute Current_crop=ba-gr numeric
@attribute Current_crop=be numeric
@attribute Current_crop=cc numeric
@attribute Current_crop=ch numeric
@attribute Current_crop=wh-chgr numeric
@attribute Current_crop=clgr numeric
@attribute Current_crop=fa-clgr numeric
@attribute Current_crop=ry-clgr numeric
@attribute Current_crop=wh-clgr numeric
@attribute Current_crop=fa numeric
@attribute Current_crop=fa-gr numeric
@attribute Current_crop=gr numeric
@attribute Current_crop=lu-gr numeric
@attribute Current_crop=oa-gr numeric
@attribute Current_crop=wc-gr numeric
@attribute Current_crop=wh-gr numeric
@attribute Current_crop=le numeric
@attribute Current_crop=lu numeric
@attribute Current_crop=oa numeric
@attribute Current_crop=pe numeric
@attribute Current_crop=po numeric
@attribute Current_crop=ra numeric
@attribute Current_crop=rd numeric
@attribute Current_crop=ry numeric
@attribute Current_crop=wc numeric
@attribute Current_crop=wh numeric
@attribute AC numeric
@attribute MC numeric
@attribute CAC numeric
@attribute PC numeric
@attribute WIC numeric
@attribute sf numeric
@attribute o numeric
@attribute ca numeric
@attribute sh numeric
@attribute grazing numeric
@attribute si numeric
@attribute seha numeric
@attribute sepl numeric
@attribute soha numeric
@attribute sopl numeric
@attribute tr_packing numeric
@attribute tr_shal_till numeric
@attribute tr_subshal_till numeric
@attribute tr_deep_till numeric
@attribute fert_lev numeric
@attribute fert_type numeric
@attribute tr_fert_time numeric
@attribute crop1=ba numeric
@attribute crop1=ba-clgr numeric
@attribute crop1=ba-gr numeric
@attribute crop1=be numeric
@attribute crop1=clgr numeric
@attribute crop1=clgr-wc numeric
@attribute crop1=fa numeric
@attribute crop1=gr numeric
@attribute crop1=oa-gr numeric
@attribute crop1=le numeric
@attribute crop1=lu numeric
@attribute crop1=lu-gr numeric
@attribute crop1=oa numeric
@attribute crop1=pe numeric
@attribute crop1=po numeric
@attribute crop1=ra numeric
@attribute crop1=ry numeric
@attribute crop1=sba numeric
@attribute crop1=vea numeric
@attribute crop1=wc numeric
@attribute crop1=wh numeric
@attribute crop1=wh-gr numeric
@attribute AC_1 numeric
@attribute MC_1 numeric
@attribute CAC_1 numeric
@attribute PC_1 numeric
@attribute WIC_1 numeric
@attribute si_1 numeric
@attribute ca_1 numeric
@attribute sotr_1 numeric
@attribute crop2=ba numeric
@attribute crop2=ba-clgr numeric
@attribute crop2=ba-gr numeric
@attribute crop2=be numeric
@attribute crop2=wc-gr numeric
@attribute crop2=clgr numeric
@attribute crop2=fa numeric
@attribute crop2=gr numeric
@attribute crop2=wh-gr numeric
@attribute crop2=le numeric
@attribute crop2=oa numeric
@attribute crop2=oa-clgr numeric
@attribute crop2=pe numeric
@attribute crop2=po numeric
@attribute crop2=ra numeric
@attribute crop2=ry numeric
@attribute crop2=sba numeric
@attribute crop2=sba-clgr numeric
@attribute crop2=sba-gr numeric
@attribute crop2=swh numeric
@attribute crop2=wc numeric
@attribute crop2=wh numeric
@attribute AC_2 numeric
@attribute MC_2 numeric
@attribute CAC_2 numeric
@attribute PC_2 numeric
@attribute WIC_2 numeric
@attribute si_2 numeric
@attribute ca_2 numeric
@attribute sotr_2 numeric
@attribute crop3=ba numeric
@attribute crop3=ba-clgr numeric
@attribute crop3=ba-gr numeric
@attribute crop3=ba-pe numeric
@attribute crop3=be numeric
@attribute crop3=clgr numeric
@attribute crop3=clgr-wc numeric
@attribute crop3=fa numeric
@attribute crop3=oa-gr numeric
@attribute crop3=gr numeric
@attribute crop3=lu numeric
@attribute crop3=oa numeric
@attribute crop3=pe numeric
@attribute crop3=po numeric
@attribute crop3=ra numeric
@attribute crop3=ry-clgr numeric
@attribute crop3=sba numeric
@attribute crop3=sba-clgr numeric
@attribute crop3=wc numeric
@attribute crop3=wh numeric
@attribute AC_3 numeric
@attribute MC_3 numeric
@attribute CAC_3 numeric
@attribute PC_3 numeric
@attribute WIC_3 numeric
@attribute si_3 numeric
@attribute ca_3 numeric
@attribute sotr_3 numeric
@attribute acari numeric
@attribute coll numeric
@attribute S numeric
@attribute H numeric
@attribute D numeric
@attribute Inv_D numeric
@attribute CD numeric
@attribute Inv_CD numeric
@attribute relative_S numeric
@attribute E_S numeric
@attribute E_D numeric
@attribute E_CD numeric
@attribute EP numeric
@attribute EP-HE numeric
@attribute HE numeric
@attribute HE-EU numeric
@attribute EU numeric

@data

2,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,62146,5404,8,1.160213,0.637682,1.568181,0.637676,1.568194,0.000118,0.386738,1.78744,1.787407,386,386,0,0,57900
2,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,101518,8878,11,1.075857,0.700108,1.428352,0.700105,1.428357,0.0001,0.310992,2.091677,2.091654,1158,2702,0,0,97272
2,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,51338,31652,17,2.767431,0.255035,3.921028,0.255026,3.921166,0.000205,0.677053,1.403909,1.403873,1158,7334,1544,4246,59444
2,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,52882,7334,8,1.39674,0.565171,1.769376,0.565164,1.769399,0.000133,0.46558,1.696636,1.696598,2316,0,0,0,49408
5,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,96114,42074,18,1.891037,0.434428,2.301879,0.434424,2.3019,0.00013,0.453494,1.57218,1.572162,28950,1930,1544,1158,102290
5,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,57900,17756,16,2.594965,0.265827,3.761849,0.265817,3.761986,0.000211,0.648741,1.357595,1.357558,2702,5018,1158,772,58672
5,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,36284,39372,15,2.654225,0.238911,4.185661,0.238901,4.185838,0.000198,0.67937,1.285055,1.285018,1930,10808,17756,386,43232
5,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,52110,32038,17,2.756038,0.276786,3.612893,0.276778,3.613006,0.000202,0.674266,1.487214,1.487178,1930,8106,3088,6176,61760
7,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,77586,138188,15,2.155558,0.320471,3.12041,0.320468,3.120441,0.00007,0.551732,1.312975,1.312963,97272,12738,7720,1544,92640
